base_number,japanese_text,russian_translation,english_original,converb_te_copula,converb_te_no_comma,converb_i_adjective,converb_te_comma,converb_te_period,converb_i,converb_nagara,converb_tari,converbs_amount,types_of_converbs,direct_speech,connection_type_ja,connection_type_en,conjunction_original,lexis,subject,comments
1-3-9(1),ダーズリー氏のオフィスは九階で、いつも窓に背を向けて座っていた,"Офис мистера Дурсля [был] на девятом этаже [te], [где он] всегда сидел, повернувшись к окну спиной [te].",Mr Dursley always sat with his back to the window in his office on the ninth floor.,да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,prep,-,"[(2 te), (2)]","(2 ТЭ), (2 ...) разные подлежащие, офис и Дурсль"
1-3-9(2),ダーズリー氏のオフィスは九階で、いつも窓に背を向けて座っていた,"Офис мистера Дурсля [был] на девятом этаже [te], [где он] всегда сидел, повернувшись к окну спиной [te].",Mr Dursley always sat with his back to the window in his office on the ninth floor.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
1-3-10,ふくろうが次から次へと飛んで行くのを指さしては、いったいあれは何だと口をあんぐりあけて見つめていたのだ," [Они] указывали пальцем на то, как совы летят одна за другой, “Что это вообще такое?” – широко открыв рты [te], [они] наблюдали [за совами].",they pointed and gazed open-mouthed as owl after owl sped overhead.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ed,-,"[2 (te), (0)]",
1-3-12,それから、少し手足を伸ばそうかと、道路のむかい側にあるパン屋まで歩いて買い物に行くことにした,"Затем, желая размять конечности, решил пройтись пешком до булочкой с противоположной стороны дороги [te], сходить за покупками.","He was in a very good mood until lunch-time, when he thought he’d stretch his legs and walk across the road to buy himself a bun from the baker’s opposite.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,to,-,"[2 (te), (0)]",
1-3-26,いったんはヒソヒソ声のするほうを振り返って、何か言おうかと思ったが、まてよ、と考えなおした。,"‘Мистер Дурсль резко замер. Его быстро заполонил страх. Он быстро повернулся в сторону шепчущих голосов [te], желая что-то сказать, но передумал.’","Mr. Dursley stopped dead. Fear flooded him. He looked back at the whisperers as if he wanted to say something to them, but thought better of it.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,последовательность действий,as ,-,"[2 (te), (0)]",
1-3-27,ダーズリー氏は猛スピードで道を横切り、オフィスにかけ戻るや否や、秘書に「誰も取り継ぐな」と命令し、ドアをピシャッと閉めて電話をひっつかみ、家の番号を回しはじめた,"Мистер Дурсль на большой скорости пересёк дорогу [i], как только вернулся в офис, приказал секретарше, чтобы его никто не беспокоил [i], захлопнул дверь [te], схватил телефон [i], начал набирать номер дома.","He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone and had almost finished dialling his home number when he changed his mind.",нет,да,нет,нет,нет,3,нет,нет,4,"И, И, ТЭ, И",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
1-3-40(1),相手は小さな老人で、よろけて転びそうになった,"“Извините,” – издал стон мистер Дурсль. Собеседником был маленький старик [te], [который], споткнувшись [te], почти упал.","‘Sorry,’ he grunted, as the tiny old man stumbled and almost fell",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,as ,-,"[2 (te), (0)]",
1-3-40(2),相手は小さな老人で、よろけて転びそうになった,"“Извините,” – издал стон мистер Дурсль. Собеседником был маленький старик [te], [который], споткнувшись [te], почти упал.","‘Sorry,’ he grunted, as the tiny old man stumbled and almost fell",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,,"[2 (te), (0)]",
1-3-42,それどころか、顔が上下に割れるかと思ったほど大きくにっこりして、道行く人が振り返るほどのキーキー声でこう言った。,"‘Хоть [его] и почти сбили с ног на землю, эта ситуация совершенно [его] не расстроила. Напротив, настолько, будто его лицо расколется пополам, широко улыбнувшись [te], он сказал настолько визгливым голосом, что идущие по улице люди обернулись: … ’","He didn’t seem at all upset at being almost knocked to the ground. On the contrary, his face split into a wide smile and he said in a squeaky voice that made passers-by stare…",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,фон-фигура,-,-,"[2 (te), (0)]",
1-3-47,急いで車に乗り込むと、ダーズリー氏は家に向かって走り出した,"Когда [он] быстро сел в машину, мистер Дурсль, повернувшись к дому [te], поехал.",He hurried to his car and set off home,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,дополнение,-,"[(te), (2)]",
1-4-29,奥さんが紅茶を二つ持って居間に入ってきた,"Жена, держа две [чашки] чая [te], вошла в гостиную.",Mrs Dursley came into the living-room carrying two cups of tea.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[3 (te), (0)]",
1-4-39, 奥さんは口をすぼめて紅茶をすすった,"Жена, поджав губы [te], отпила чай.",Mrs Dursley sipped her tea through pursed lips,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ed,-,"[2 (te), (0)]",
1-5-8(1),そう思うと少しホッとして、ダーズリー氏はあくびをして寝返りを打った。,"Супруги Поттеры наверняка знают, что мы думаем о них двоих и [той] компании. “Не знаю, что происходит, но мы с Петуньей не будем вмешиваться,” – подумав так, мистер Дурсль слегка выдохнул с облегчением [te] зевнул, сделав “по” [te], и перевернулся [на другой бок].","His last, comforting thought before he fell asleep was that even if Potters were involved, there was no reason for them to come near him and Mrs. Dursley. The Potters knew very well what he and Petunia could get mixed up in anything that might be going on – he yawned and turned over – it couldn`t affect them…",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,-,-,"[(te), (2)]","(ТЭ, .... ВА )"
1-5-8(2),そう思うと少しホッとして、ダーズリー氏はあくびをして寝返りを打った。,"Супруги Поттеры наверняка знают, что мы думаем о них двоих и [той] компании. “Не знаю, что происходит, но мы с Петуньей не будем вмешиваться,” – подумав так, мистер Дурсль слегка выдохнул с облегчением [te] зевнул, сделав “по” [te], и перевернулся [на другой бок].","His last, comforting thought before he fell asleep was that even if Potters were involved, there was no reason for them to come near him and Mrs. Dursley. The Potters knew very well what he and Petunia could get mixed up in anything that might be going on – he yawned and turned over – it couldn`t affect them…",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,,,
1-5-14,真夜中近くになって、初めて猫は動いた。,"‘Наступило около полуночи [te], кошка впервые зашевелилась.’","In fact, it was nearly midnight before the cat moved at all.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,before,-,"[(0 te), (2)]","Кажется, это первый случай разносубъектного употребления ТЭ. Да и то, клауза с ТЭ полноценного субъекта не имеет"
1-5-16,猫はしっぽをピクッとさせて、目を細めた。,"‘Кошка дёрнула хвостом [te], сузила глаза.’",The cat’s tail twitched and its eyes narrowed.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,фон-фигура,and,-,"[2 (te), (0)]","на самом деле ""сузила глаза"". Т.е. в англ и РОП - разносубъектные конструкции, а здесь - один (кошка) и этот субъект топикализован"
1-5-28,ふたをパチンと開け、高くかざして、カチッと鳴らした。,"‘[Он] с щелчком открыл крышку [i], высоко поднял [зажигалку] [te], щёлкнул.’","He flicked it open, held it up in the air and clicked it.",нет,нет,нет,да,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]","О, интересно! здесь сначала другой конверб (2-я основа), а потом ТЭ. В литературе пишут, что ТЭ связывает сильнее. Т.е. Он открыл. А потом - поднял зажигалку и щелкнул."
1-5-32,もう一度カチッといわせた。次の街灯がゆらめいて闇の中に消えていった,"Ещё один раз издал “щёлк”. Следующий фонарь замерцал [te], исчез во тьме.",He clicked it again – the next lamp flickered into darkness.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,prep,-,"[3 (te), (0)]",
1-5-34,一息おくと、顔は向けずに、猫に向かって話しかけた,"Когда перевёл дыхание, не поворачивая головы, повернувшись к кошке [te], заговорил."," He didn’t look at it, but after a moment he spoke to it.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,to,-,"[2 (te), (0)]",
1-5-37,かわりに、厳格そうな女の人が、あの猫の目の周りにあった縞模様とそっくりの四角いメガネをかけて座っていた,"Вместо этого строго выглядящая женщина, надев похожие на кошачьи полоски вокруг глаз квадратные очки [te], сидела.",Instead he was smiling at a rather severe-looking woman who was wearing squareglasses exactly the shape of the markings the cat had had around its eyes.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,-,-,"[3 (te), (0)]",
1-5-40,黒い髪をひっつめて、小さな髷にしている。,"‘[Она] стянула чёрные волосы [te], сделала маленький пучок.’",Her black hair was drawn into a tight bun.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,-,-,"[2 (te), (0)]",
1-5-41,女の人は見破られて動揺していた,"Женщина, будучи обнаруженной [te], смутилась.",She looked distinctly ruffled.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,образ действия,-,-,"[2 (te), (0)]",
1-7-19,ダンブルドアは大きく鼻をすすると、ポケットから金時計を取り出して時間を見た,"Дамблдор шумно вздохнул, достал из кармана золотые часы [te], посмотрел на время.",Dumbledore gave a great sniff as he took a golden watch from his pocket and examined it,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий, and,-,"[2 (te), (0)]",
1-7-42,あの子に受け入れる準備ができるまで、そうしたことから一切離れて育つ方がずっといいということがわからんかね？,"Тому ребёнку расти, отделённым от всего этого до того, как он сможет это принять [te], будет намного лучше – вы ведь это понимаете?"," Can’t you see how much better off he’ll be, growing up away from all that until he’s ready to take it?",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,образ действия,образ действия,prep,-,"[2 (te), (0)]",
1-7-48,マクゴナガル先生は口を開きかけたが、思いなおして、喉まで出かかった言葉をのみ込んだ。,"‘Профессор МакГонагалл распахнула рот, но передумала [te], проглотила слова, вертевшиеся [у неё] на языке.’","Professor McGonagall opened her mouth, changed her mind, swallowed and then said: …",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,запятая ,-,"[2 (te), (0)]",
1-8-10,――大きなオートバイが空からドーンと降ってきて、二人の目の前に着陸した。,"‘Большой мотоцикл с рёвом упал с неба [te], приземлился перед их глазами.’",a huge motorbike fell out of the air and landed on the road in front of them.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
1-8-13,許しがたいほど大きすぎて、それになんて荒々しい――ボウボウとした黒い髪とひげが、長くモジャモジャと絡まり、ほとんど顔中を覆っている。,"‘[Он] был слишком большой [te], кроме того, какой-то яростный – [вид у него] был дикий, узлы яростных чёрных волос и лохматой бороды почти [полностью] закрывали [его] лицо.’","He looked simply too big to be allowed, and so wild – long tangles of bushy black hair and beard hid most of his face",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,", and",soreni,"[2 (te), (0)]","Этого подлежащего вовсе не видно (опущено), оно топикализовано и есть где-то слева"
1-8-47,ダンブルドアは庭の低い生垣をまたいで、玄関へと歩いていった。,"‘Дамблдор перешагнул через низкий забор сада [te], подошёл к входной двери.’",Dumbledore stepped over the low garden wall and walked to the front door.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
1-8-49,三人は、まるまる一分間そこにたたずんで、小さな毛布の包みを見つめていた。,"‘Трое целую минуту стояли [te], смотрели на маленький свёрток из одеяла.’",For a full minute the three of them stood and looked at the little bundle;,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,последовательность действий,and,-,"[2 (te), (0)]",
1-9-6,バイクはうなりを上げて空に舞い上がり、夜の闇へと消えていった,"Мотоцикл издал рёв [te], взмыл в небо [i], исчез в вечерней тьме.",with a roar it rose into the air and off into the night.,нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
1-9-10,ダンブルドアはクルリと背を向け、通りのむこうに向かって歩き出した,"Дамблдор кругом развернулся [i], повернулся к противоположной стороне улицы [te], пошёл.",Dumbledore turned and walked back down the street.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
2-9-38,初めて自転車に乗った姿、お祭りの回転木馬の上、パパとコンピュータ・ゲーム、ママに抱きしめられてキスされる姿,"[Теперь на фотографиях была] ездившая на первом велосипеде фигура, фигура верхом на карусели, [играющая] с папой в компьютерные игры, которую обнимает мама [te] и целует.","blond boy riding his first bicycle, on a roundabout at the fair, playing a computer game with his father, being hugged and kissedby his mother.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
2-9-43,ハリーは驚いて目を覚ました,Гарри удивился [te] и проснулся.’,Harry woke with a start.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,образ действия,prep,-,"[2 (te), (0)]",
2-9-54,「まだ起きないのかい？」おばさんが戸のむこうに戻ってきて、きつい声を出した。,"‘“Ещё не встал?” – тётушка повернулась к противоположной стороне двери [te], сказала строгим голосом.’",His aunt was back outside the door. ‘Are you up yet?’ she demanded.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,-,-,"[3 (te), (0)]",
2-10-11,服を着ると、ハリーは廊下に出てキッチンに向かった,"Когда Гарри надел одежду, он вышел в коридор [te] и направился к кухне.",When he was dressed he went down the hall into the kitchen.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,образ действия,prep,-,"[2 (te), (0)]",
2-10-12,食卓はダドリーの誕生日のプレゼントの山に埋もれてほとんど見えなかった,"‘Стол был скрыт подарками Дадли на день рождения [te], почти не виднелся.’",The table was almost hidden beneath all Dudley’s birthday presents.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,ed,-,"[2 (te), (0)]",
2-10-18,その上、着るものはハリーの四倍も大きいダドリーのお古ばかりだったので、ますますやせて小さく見えた,"Более того, то, что носил [Гарри], было только старыми вещами Дадли, который был в четыре раза больше него, и поэтому он ещё больше казался худым [te] и маленьким.",He looked even smaller and skinnier than he really was because all he had to wear were old clothes of Dudley’s and Dudley was about four times bigger than he was.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик ,перечисление характеристик ,and,-,"[2 (te), (0)]",
2-10-20,ハリーは、膝小僧が目立つような細い脚で、細面の顔に真っ黒な髪、明るい緑色の目をしていた,"У Гарри были худые ноги с выступающими коленными чашечками [te], стройное лицо и чёрные волосы, светлые зелёные глаза.","Harry had a thin face, knobbly knees, black hair and bright-green eyes.",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,запятая,-,"[2 (te), (0)]",и связка опять же
2-10-31,ハリーが卵を焼いていると、ダドリーが母親に連れられてキッチンに入ってきた,"Гарри жарил яйца, когда Дадли, будучи сопровождаемым матерью [te], зашёл на кухню.",Harry was frying eggs by the time Dudley arrived in the kitchen with his mother.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
2-10-34(1),大きなピンクの顔で、首はほとんどなく、薄い水色の小さな目をして、たっぷりとしたブロンドの髪が、たてにも横にも大きい顔の上に載っかっている。,"‘[У него было] большое розовое лицо [de], шеи почти не было [ku], узкие маленькие бледно-голубые глаза [te], светлые волосы обильно лежали там и сям на его большом лице.’","He had a large, pink face, not much neck, small, watery blue eyes and thick, blond hair that lay smoothly on his thick, fat head.",да,нет,да,нет,нет,нет,нет,нет,2,"ТЭ, И",нет,перечисление характеристик,перечисление характеристик,запятая,-,"[2 (te), (0)]","А в этом примере сначала идет КАО ДЭ (тэ-форма связки), затем НА-КУ  -это КУ-форма - аналог ТЭ-формы для прилагательных, а также для отрицания НАЙ и дезидератива ТАЙ. И только третьей - ТЭ-форма глагола. Так что тут тоже цепочка из трех конвербов. Интересно, что со стативами (в частности связками и прилагательными) получается, что отношения между звеньями цепочки - симметричные, это перечисление признаков."
2-10-34(2),大きなピンクの顔で、首はほとんどなく、薄い水色の小さな目をして、たっぷりとしたブロンドの髪が、たてにも横にも大きい顔の上に載っかっている。,"‘[У него было] большое розовое лицо [de], шеи почти не было [ku], узкие маленькие бледно-голубые глаза [te], светлые волосы обильно лежали там и сям на его большом лице.’","He had a large, pink face, not much neck, small, watery blue eyes and thick, blond hair that lay smoothly on his thick, fat head.",нет,нет,да,да,нет,нет,нет,нет,2,"И, ТЭ",нет,перечисление характеристик,перечисление характеристик,and,-,"[2 (te), (0)]",
2-10-36,ダドリーの方は、プレゼントの数を敢えていたが、突然顔色を変えてパパとママを見上げた,"Дадли же считал количество подарков, но резко изменил цвет лица [te] и поднял взгляд на папу с мамой.","Dudley, meanwhile, was counting his presents. His face fell. ‘Thirty-six,’ he said, looking up at his mother and father.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,-,-,"[2 (te), (0)]",
2-10-43,ハリーはダドリーのかんしゃく玉が大爆発寸前なのを感じて、いつテーブルがひっくり返されてもいいように大急ぎでベーコンに食らいついた。,"‘Когда Гарри почувствовал, что Дадли на грани взрыва от приступа ярости [te], и стол вот-вот перевернётся, в большой спешке вцепился зубами в бекон.’","Harry, who could see a huge Dudley tantrum coming on, began wolfing down his bacon as fast as possible in case Dudley turned the table over.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,причинность,-,-,-,"[(3 te), (3)]","тут может быть симметрично, они оба зависимые"
2-11-3,やんちゃ君はパパと同じで、絶対損したくないってわけだ。なんてすごい子だ！ダドリーや,"“Непослушный мальчик, такой же, как и отец [te], ни за что не захочешь потерпеть неудачу. Удивительный ребёнок! Дадли”","‘Little tyke wants his money’s worth, just like his father. Atta boy, Dudley!",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,да,перечисление характеристик,перечисление характеристик,запятая,-,"[2 (te), (0)]",
2-11-13,ハリーはいつも置いてけぼりで、ふた筋むこうに住んでいる変わりもののフィッグばあさんに預けられていた,"Гарри всегда оставляли [te], оставляли в двух кварталах с противоположной стороны у старухи Фигг.","Every year, Harry was left behind with Mrs Figg, a mad old lady who lived two streets away",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,-,-,-,"[2 (te), (0)]",тут фактически топик!
2-11-20,ダーズリー夫妻はよくこんな風に、ハリーの目の前で、本人をまるで無視して話をした,"Супруги Дурсли часто так, полностью игнорируя Гарри прямо перед его глазами [te], разговаривали.","The Dursleys often spoke about Harry like this, as though he wasn’t there",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,like as,-,"[2 (te), (0)]",
2-11-33,ここ何年も本当に泣いたことなんてないが、顔をゆがめてメソメソすれば、母親がほしいものは何でもくれることを知っているのだ,"[Дадли] несколько лет по-настоящему не плакал, но [он] знает, что если скривить лицо [te] и сделать “плак-плак”, мать даст [ему] что угодно, что пожелает.","Dudley began to cry loudly. In fact, he wasn’t really crying, it had been years since he’d really cried, but he knew that if he screwed up his face and wailed, his mother would give him anything he wanted.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
2-11-40,抱きしめている母親の腕のすき閏から、ダドリーはハリーに向かって意地悪くニヤリと笑った,"Выглядывая из-за рук обнимающей его матери, Дадли повернулся к Дадли [te] и насмешливо ухмыльнулся.",He shot Harry a nasty grin through the gap in his mother’s arms.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
2-11-43,――やがてダドリーの一の子分、ピアーズ・ポルキスが母親に連れられて部屋に入ってきた,"‘Наконец лучший друг Дадли, Пирс Полкисс, сопровождаемый матерью [te] зашёл в комнату.","and a moment later, Dudley’s best friend, Piers Polkiss, walked in with his mother.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
2-12-10,ある時、床屋から帰ってきたハリーが、散髪する前と同じように髪が伸びているのを見て業をにやしたペチュニアおばさんが、キッチンバサミでクリクリに刈り上げたことがあった,"Однажды тётя Петунья, увидев, что Гарри вернулся из парикмахерской с такими же волосами, как и до этого [te], вышла из себя, кухонными ножницами остригла его налысо","Once, Aunt Petunia, tired of Harry coming back from the barber’s looking as though he hadn’t been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,ed,-,"[3 (te), (0)]",
2-12-13,ダドリーはハリーを見てバカ笑いしたし、ハリーは翌日の学校のことを思うと眠れなかった,"Дадли смотрел на Гарри [te], злобно усмехался, и Гарри не мог уснуть, думая о следующем дне в школе.","Dudley had laughed himself silly at Harry, who spent a sleepless night imagining school the next day, where he was already laughed at for his baggy clothes and Sellotaped glasses.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
2-12-14,ただでさえ、ダブダブの服を着てセロテープだらけのメガネをかけたハリーは物笑いの種だった,"Но Гарри носил мешковатую одежду [te] и носил очки, все покрытые скотчем, был объектом насмешек",he was already laughed at for his baggy clothes and Sellotaped glasses.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and,-,"[(te), (2)]",
2-12-36(1),ムチャクチャな音を出して走りおって。チンピラどもが,"Издают сумасшедшие звуки [te], носятся [te]","roaring along like maniacs, the young hoodlums",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,образ действия,образ действия,like,-,"[(te), (3)]","В этом и двух примерах ниже после ТЭ с точкой следует дискурсивный обрыв. Но в он оказывается разной природы. В 2-12-36 как бы прерывается ряд описаний плохого поведения героев ""носятся [и всякое такое, и вообще ] хулиганы"
2-12-36(2),ムチャクチャな音を出して走りおって。チンピラどもが,"Издают сумасшедшие звуки [te], носятся [te]","roaring along like maniacs, the young hoodlums",нет,нет,нет,нет,да,нет,нет,нет,1,ТЭ,да,дискурсивный обрыв,дискурсивный обрыв,точка,-,"[(te), (3)]",
